"EntraIDOperationName","MicrosoftGraphRequestUri","RequestMethod","EntraIDOperationVersion"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Invite external user","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Invite external user","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Invite external user","https://graph.microsoft.com/v1.0/<UUID>/invitations","POST","1.0"
"Invite external user","https://graph.microsoft.com/v1.0/invitations","POST","1.0"
"Invite external user","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Invite external user","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Invite external user","https://graph.microsoft.com/v1.0/organization/<UUID>/isDirectoryFeatureEnabled","POST","1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/beta/users/<UUID>/authentication/signInPreferences","PATCH","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/owners/$ref","POST","1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/directory/redeemInvitation","POST","1.0"
"Register device","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances/1_<UUID>_<UUID>_<UUID>","DELETE","1.0"
"Register device","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances","POST","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments/EBNYzlrbf0m4Ih1PQ9Y6wl759qoElApOo1nyI9Ga<ID>","DELETE","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/owners/<UUID>/$ref","DELETE","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments/<ID>","DELETE","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments/<ID>","DELETE","1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Remove eligible member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Remove eligible member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Remove eligible member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Remove member from role (PIM activation expired)","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments/<ID>","DELETE","1.0"
"Remove member from role in PIM completed (timebound)","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments/<ID>","DELETE","1.0"
"Remove member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Remove member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Remove member from role in PIM completed (timebound)","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Remove permanent direct role assignment","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Remove permanent direct role assignment","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Remove permanent direct role assignment","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Remove permanent eligible role assignment","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Remove permanent eligible role assignment","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Remove permanent eligible role assignment","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Reprocess access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Reprocess access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Request approved","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Request denied","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Reset password (self-service)","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"Reset password (self-service)","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"Reset password (self-service)","https://graph.microsoft.com/beta/users/<UUID>/authentication/passwordMethods/<UUID>/resetPassword","POST","1.0"
